Тип отзыва;Отзыв;Типы проблем
2;Вообще не вкусно ………. Я я я я я;Требуется модерация
2;Неплохо дощнврвдрлрчдрчлрчлнч згащнащ6ащна 96к86у86к86;Требуется модерация
2;оаововвкусно советую. быстро;Требуется модерация
2;спасибо большое хорошо покакал;Требуется модерация
2;все холодное и не вкусное помойка;Требуется модерация
2;долгая доставка, привезли холодными, отравились с девушкой, больше никогда тут не закажем, козлы!;Требуется модерация
2;"Все норм, но разлили морс 🥲 для меня впринципе это удивительно, как могла разлиться плотно закрытая бутылка, благо контейнеры мокрые только снаружи. Сам морс на вкус просто как вода, как будто его сильно разбавили, и да, я уже брала его тут, в прошлые разы был нормальный морс, а тут никакой насыщенности, только разве что запах напитка, в остальном вода водой🤨
На след утро у меня дичайший понос, спасибо, супер, я желаю тем, кто делал эти роллы просраться так же круто как и я";Требуется модерация
2;Везли 2,5 часа, на вопрос когда приедет доставка, сказали мол «суббота» и ждите, вы не одни заказываете. Все приехало холодным, да и в целом не еда, а дерьмо. Пицца никакая, сыр застывший, бортики по 3 см сухие и безыскусные, картошка фри внутри сырая. Заказывали впервые и в целом все ужасно, цена этому максимум 250 рублей, а не 1,5 тысячи.;Требуется модерация
2;раньше время от времени брали и нравилось! НО в этот раз приехало такое ГО...НО Роллы не вкусны а лапшу вообще 2 порции выкинули;Требуется модерация
2;"Такого г… давно не ел
Вкус риса отвратительно-кислый
Внешне - не презентабельно, аппетит не вызывает
Сделано тяп-ляп, у меня ребёнок лучше крутит роллы
Полагаю, что и остальная еда в этом заведении оставляет желать лучшего 
«Самолёт» не рекомендую";Требуется модерация
2;Детям понравилось роллддолллооььоиоорр;Требуется модерация
2;Нормально все вкусно будет да;Требуется модерация
2;окуеееено вкучноо очень епатьь;Требуется модерация
2;"АОАОАОА, вкуснятина 
Клубника бомба, честно говоря";Требуется модерация
2;ахаххахвхвхажтсь защвоутвхвзьвкруто вкусно;Требуется модерация
2;Все хорошо , плохо только отзыв на 25 символов;Требуется модерация
2;Круто у тебя там как у меня там на;Требуется модерация
0;Забыли положить имбирь, а так-вкусно и красиво;Не довезли
0;Забыли положить соевый соус;Не довезли
0;Не весь заказ привезли. Пицца очень вкусная, а вот ципленок подкачал, вкус горького масла был.;Не довезли
0;Не все соусы доехали( а в целом неплохо, доставка быстрая;Не довезли
0;Не довезли колу, предложили вернуть ее стоимость и скидку но так ничего не пришло;Не довезли
1;доставку я не получила.Два часа ждала;Не доставлен
1;ждём третий час, доставки нет. время доставки указано 90 мин.;Не доставлен
1;Было очень неприятно услышать от курьера, что нет сдачи. На этапе оформления заказа я указала, что нужна сдача с 5000₽. По факту приехал курьер и сказал, что сдачи у него нет. За это прям ЖИРНЫЙ МИНУС. Второй раз заказываю в этом ресторане и второй раз разочарование в сервисе… возможно, больше не заказу у них.;Не сдали сдачу
1;Все, что заказано, вкусно. Но доставка 3(!!!!) часа вместо заявленных 60 минут многовато;Задержка
1;"Ждали заказ более 3 часов…
Хотя при оформлении заказа время доставки указывалось как 1 час 40 минут. 
Отменить заказ через поддержку не получилось.
Если ресторан не может доставить заказ в установленный срок, почему клиент должен страдать и ждать доставку по несколько часов?!";Задержка
1;"Коробка с пиццей мятая, роллы перевернутые, вкус шаурмы никакой. Ехал заказ больше 2 часов, хотя сказали 1:40. 

Курьер не внушающий доверия, то ли под алкоголем, то ли ещё что-то. 
Съел пару роллов из сета, какие выглядели получше, остальное на помойку, больше не буду тут заказывать, даже если очень приспичит. Аппетит пропал максимально.";Задержка
1;обещали в течение 1:30-1:50 привезли с опозданием,через 2:20.естественно все было холодным. вок лапша неплохая,креветок много,но горчил перец. в целом нормально,но с доставкой конечно беда какая то;Задержка
1;Привезли кашу, а не роллы. Плюс, забыли положить колифорнию, которую заказывал. Сделал фото, отправил операторам. Перезвонили. Сказали, что довезут и в качестве компенсации подарят промокод 20% на следующий заказ. Роллы так и не привезли, промокод не прислали. СушиМолл полное дер*мо. Да, кстати... Звонили с номера телефона Моне. Уж не знаю какое отношение эти две фирмы имеют друг к другу.;Не довезли
1;"Скорость доставки - более 2.5 часов. Думаю, не позвони мы в суши Макс, нам бы вообще ничего не привезли (есть предположение, что готовить его начали именно по звонку)
Заказ, принятый в 16.38 по итогу привезли в 19.50.
Палочки для суши, входящие в пакет доставки выглядят как лютый самопал (фото к отзыву добавить нельзя, но можем его предоставить)
Вкусно, но долго и не сказать, что клиентоориентировано";Задержка
1;Жду заказ с 10:24 по данный момент 12:50, я сомневаюсь что приедет да же что-то теплое.;Задержка
1;Из 5 позиций доставили 4, апофеозом была рыбья кость в ролле. Дорого оплачено, х.. вое качество. Увы.;Не довезли
1;курьер не понятно кому отдал заказ, в итоге пока разберёмся я чувствую без обеда остались... очень не приятная ситуация;Не доставлен
1;Рис в этот раз был не доварен! И доставка 2,5 часа! Расстроили!(;Задержка
1;мне не был доставлен заказ!а пишит получен!свяжитесь со мной!;Не доставлен
1;"Заказ привезли почти через два часа, при условии, что доставка платная... в грибную шаурме напихали столько картошки, что от грибов только запах и остался... сделаны на ""и так сойдет""... не рекомендую";Задержка
1;Заказывали на три персоны, привезли и имбирь и палочки на одну персону, доставка дольше чем говорят, почти на час ( палочки и имбирь доставили. Только на одного человека (но на вкус , вкусно, хорошо готовят). Обслуживание очень хорошее, вежливые, доброжелательные.;Не довезли
1;Просто ужасно привезли кашу а не роллы если бы можно было бы приложить фото были бы в шоке. и одни из них пропавшие от них очень сильный запах был. заказываем не первый раз на это ужас конкретный. Заказ ждали 2 часа назвонки не отвечали.;Задержка
1;"1. в бургерах не увидили ничего кроме майонеза,  1 котлеты и булочки (в описании заявлен совсем другой состав с добавлением огурцов, салата, соусов, двойной котлеты в крисби). 
2. доставка 2 часа, приехало все практически холодное
3. не положили в комбо 1 картофель-фри и морс (хотя по чеку пробито и входит в комбо)
4. итог - цена/качество не соответствует действительности/ожиданиям";Не довезли
1;Ждала вчера 3,5 часа, звоню спрашиваю сколько еще? Сказали пол часа, отказалась от заказа, все остались голодными, так еще и баллы списали и пометили что заказ был доставлен! Че бред?????;Не доставлен
1;Приехал заказ спустя 5 с половиной часов, это после того , как я созванивалась с рестораном и службой поддержки. В итоге приехали ролы холодные…заветренные. Уважаемый директор данного заведения, наведите порядок, иначе вы растеряете всех своих клиентов! Одного как минимум Вы уже потеряли!;Задержка
1;мало того, что опоздали с доставкой более 30 минут, даже не извинились, а мне нужно было уходить. заказ принял уже уходя, ел по возвращению холодной том ям и суши.;Задержка
1;Заказ не полный. Курьер отзвонился и пообещал довезти недостающее. Прошло 1,5 часа - видимо «простили»;Не довезли
1;Не довезли одно блюдо, поддержка никак проблему не решила, то что должно было быть теплым было холодным;Не довезли
1;"было бы все прекрасно если бы привезли заказ вовремя,ну это пол беды.суббота загруженность я все понимаю.
но когда привозят заказ не полностью и ни как на это не ответ,ну это такое себе,я значит должен оплатить сразу а вы заказ выполнить не обязаны.
мололцы👍";Не довезли
1;Привезли на 1.5 часа позже, пицца холодная, а это был самый важный критерий, больше тут не заказываю;Задержка
1;не положили 2 морса, пришлось есть в сухомятку.;Не довезли
1;Привезли на 8 суши меньше;Не довезли
1;"Везли заказ 170 минут, вместо заявленных 120.
Пицца не самого лучшего качества👎";Задержка
1;привезли с опозданием ,все еда была холодная;Задержка
1;Вместо шаурмы хxl, положили обычную. В прошлый раз была и больше и соуса много, в этот раз сухая и мало того, что размер маленький, так и см 4 один лаваш без начинки.;Не то привезли
1;Заказали, оплатили онлайн, сначала ждали 30 мин подтверждения, обратились в поддержку, потом заказ ждали 1.30 ч пока опять в поддержку не обратились, и то с ними не могли связаться. в итоге притащили все холодное. И ни разу не перезвонили. Не советую, ну или если время есть ждать;Задержка
1;"Заказ должен был быть доставлен в 20:10, курьер приехал в 21:08. Естественно,все холодное. Теплым оказался только том ям, но он почему-то с цыплёнком, хотя я заказывала с креветкой и кальмаром (разница в 130 рублей). Чикенбургер помимо того,что холодный, еще и с заветренным соусом по краям. Соевого соуса прям ""не пожалели"", налили почти половину баночки.
В заказе было указано, что требуется набор приборов, которых тоже не было. Ни палочек, ни ложки к томику. За ТРИ салфетки, конечно же, спасибо.";Не то привезли
1;"В приложении было указано, что время ожидания заказа 90 минут (1 час 30 минут). По телефону сказали, что ждать 1.40 может на 10 минут больше
По итогу уже 2 часа 30 минут прошло с момента заказа, а курьера до сих пор нет";Не доставлен
1;во первых доставка была очень долгая около 3,5 часов, во вторых роллы привезли холодные.;Задержка
1;Отвратительное отношение к клиентам, в предущие разы доставляли очень долго, качество продуктов нормальное, так сегодня вообще забыли про мой заказ! Заказ приняли, позвонили и подтвердили, но не везут и все, позвонила уточнить что с заказом, а администратор заявляет следующее:извините у нас много заказов, ваш заказ мы пропустили и не приготовили! Больше к этой доставке я не обращусь!;Не доставлен
1;блюдо за балы не пришло,ждал доставку два часа!!!;Не довезли ЕЗБ
1;Заказала Филадельфию с лососем и тунцом, привезли Филадельфию с одной креветкой. Такого даже в меню нет;Не то привезли
1;"Ранее заказывал через другой сервис достаточно часто в данном заведении.
По итогу : 4 салата не доложили (якобы сначала была не правильная цена, затем якобы закончился этот салат), поке решили что раз нет тунца на кухне то съедят и с креветками не поинтересовавшись согласны ли с заменой (деньги за поке вернули) карбонара ?? - нет это макфа замешанная со сметаной, отвратительная. Десерты еще более менее, но слава богу что готовят их не в заведении. Курьер явно лупиться в глаза - на квитке был указан подъезд в итоге он ломиться в соседний и пытается доказать что у него написан именно он (ЛОЛ).
В общем давно не заказывал у них и больше не стану, заведение окончательно скатилось . По поводу сервиса чибис тоже много вопросов .";Другое
1;"заказывала 3 соуса пришло 2, не знаю шли ли они бесплатно к сету может мне не доложили все 3 но в любом случае соуса мне мало;(";Не довезли
1;Ничего не меняется. Привезли через три часа,через три. Ужас. К качеству претензий нет,а доставка подводит.;Задержка
1;"Задержка доставки на час, все остывшее, мидии не вкусные, хотя были на высоте
два соевых соуса к такому набору пыж :( 
Доброй ночи";Задержка
1;отвратительно. заказ оплатила, но не чего не получила. заказ так и висит в пути. деньги не кто не возврашает;Не доставлен
1;"добрый вечер 
вы не положили нам сяке темпер. за списанные бонусы 
так же нет ни одного прибора , ни одной салфетки ,  соуса и васаби 
ужасно и обидно";Не довезли ЕЗБ
1;Заказали в 11:20 привезли в 13:40 всё холодное а значит и не вкусное.;Задержка
1;"Спустя 2,5 часа заказ так и не приехал, на телефон никто не отвечал, при этом когда звонили в первый раз спустя 1,5 часа после заказа, сказали, что курьер в пути 
но так и не дождались, также заказ оплачен";Не доставлен
1;"✔️Заказ был оформлен в 16:19.
✔️Через час через приложение попросила связаться со мной (несколько раз).
✔️В начале седьмого вечера связалась с поддержкой приложения и попросила уточнить где мой заказ. Сообщили, что он у курьера и будет у меня мин через 10-20.
✔️В 7 вечера написала в личные сообщения Чиббис в ВК о том, что курьера до сих пор нет. В ответном сообщении: тех сбой, с вами свяжется ресторан. После звонка выяснилось, что заказ они увидели только сейчас, соответственно привезут через час. Решили ждать. 
✔️В качестве извинения были начислены баллы. 
✔️Курьер позвонил в 20:23, чтобы выходили за заказом. Тут претензий нет: доставщик приятный, запеченые роллы были тёплые (контейнер с ними аккуратно запакован в фольгу)";Другое
1;"Ждали заказ, более 2 часов! Через поддержку ""чибис"", кое-как достучались до ресторана, в ответ:"" Ждите, вы не одни! "" , бросили трубку. Моя семья была постоянным клиентом этого заведения, но, после имбиря с плесенью(даже не извинились.), дали шанс на реабилитацию, увы, заказывать там, больше не будем.";Задержка
1;везли 2часа 20 минут! совершенно не меняются;Задержка
1;сижу жду заказ, при заказе написано доставка через час, заказал и вижу доставка через два часа, это как ? но прошло 2,5 часа а заказа так и нет, с чего вы решили что у меня нет других дел как ждать часами заказ ?;Задержка
1;Не положили суши за баллы,да и сами суши все разваливались можно сказать что только рис один был начинки практически не было;Не довезли ЕЗБ
1;в этом заведении заказываю первый и последний размер.к сожалению доставка опоздала на 30 минут,пицца приехала еле тёплая,роллы сделаны на от....;Задержка
1;Заказ доставляли очень долго. На час больше, чем написано , т.е. 3 часа! Сами роллы неплохие;Задержка
1;специально сказали что нужен соевый соус тк в прошлый раз не было,в этот раз тоже не нашли его);Не довезли
1;Пицца не понравилось, тесто такая твердая, холодная, без вкусная. И еще пришел в ужасном состоянии, разочарована. Все остальное вкусно, кроме пиццы.  Доставку тоже задерживают, ну и лан этого.;Задержка
0;Жаль автоматом к заказу не кладут имбирь, соус и васаби.;Уточнения по отзывам (допы)
1;заказ не привезли!!! к ним даже не дозвонился! и никто не перезвонил!;Не доставлен
1;Самая ужасная шаверма которую только пробовал, заказали шаурму с омлетом и курицей в итоге нет омлета, 2 кусочка огурца 1 долька помидора и курица, хоть майонез бы добавили или соус,при всём этом холодная потому что по какой то причине задержали заказ, в итоге всё холодное а картошке со стрипцами вообще на вид 3 день;Задержка
1;"Заказывали впервые, к сожалению, были разочарованы полностью. Заказ оформили в 19.31 с указанием обратного звонка. Заказ был принят только в 20.03, никакого звонка не было. Время доставки было указано 21.03.
Заказ привезли только в 21.35. Никаких звонков с указанием времени доставки не было.
Картошка фри в заказе конечно уже стала просто вареной холодной картошкой. В заказе было указано 3 набора приборов (для набора суш). Привезли только 1 вилку, для чего она-мы так и не поняли 🤷🏼‍♀️";Задержка
1;"Доставку обещали максиму 2 часа, привезли через 2 часа и 33 минуты.
так же перепутали блюда и заместо сендвичей нам привезли салат.
время уже поздно, ожидать замену блюда нет возможности, а деньги возвращать отказались";Задержка
1;Доставка отстой, написано одно по факту совсем другое время;Задержка
1;"Самая ужасная доставка за все время, как заказываю в этом сервисе! Доставка 2 часа, вместо обещанных 1ч 30 мин. А в сервис и вовсе была указана доставка за 60 минут! Заказали горячие и запеченные роллы - привезли холодные! Я с таким успехом мог бы заказать классические роллы и поесть их холодными! Картошка фри холодная и вся размокшая, ребенок расстроен и отказался есть! Пицца за баллы тоже холодная! Я понимаю, что 2 сентября- ажиотаж на заказы, но вы если не справляетесь с количеством заказов, зачем тогда берете их? Зачем людям портить настроение и заставлять их ждать долго свой заказ. 
Хотели позвонить и отказаться от заказа до того как привезли, но оператор ресторана даже не удосужился взять трубку! Это что за клиентоориентированность?! Очень недоволен и больше никогда не закажу здесь!";Задержка
1;Не положили половину заказа, ресторан не отвечает. Ужас!!! Больше не закажем! Заказ везли 3 часа, всё остыло;Не довезли
1;2 часа прошло, ещё ничего не привезли;Не доставлен
1;"Заказ не был доставлен
Вместо того, чтобы поесть ждали до трех ночи. Хорошо что хотя бы наличкой была оплата и деньги не потратили";Не доставлен
1;Отвратительно!! Ждали три часа!! Вместо третьей пиццы пустая коробка!!!;Не довезли
1;"Не весь заказ привезли 
Уже не в первый раз такая ситуация 
Даже трубку не берут 
Ужас,что у них стало с доставкой.";Не довезли
1;Очень долгая доставка,все приехало холодное, заказывали колу без сахара, положили обычную;Не то привезли
1;Везли 3 часа. В итоге не довезли пиццу и приборы. Еда вкусная, но доставка конечно очень долгая.;Не довезли ЕЗБ
1;"ожидание 3 часа.Пицца холодная.
Я понимаю сегодня праздник для детей.
У мужа день рождения.
Наверное не надо было брать столько заказов.
Но все вкусно.Погрели в микроволновке.";Задержка
1;Заказ не привезли.Отвратительно;Не доставлен
1;Добрый день .Заказ не был доставлен;Не доставлен
1;долгая задержка заказа,цена отличалась от приложения;Взяли больше д/с
1;Привезли заказ почти через три часа,были остывшие ещё одни роллы не те привезли цезарь ролл вместо чиз.;Не то привезли
1;Не понравились роллы без васаби и имбиря. Спасибо пряник за отличный вечер!;Уточнения по отзывам (допы)
1;Или в описании честно вес напишите или делайте соответственно описанию. Шаверма Корн всего 300 грамм, шаверма мини всего 200 грамм. Спасибо хоть на тарелке все нормально оказалось;Уточнения по отзывам (граммовка)
1;Очень долгое ожидание.Как будто сложно позвонить объяснить что время ожидание будет долгим!!!!Испорчен праздник ребенку,который ждал заказ 3 часа.;Задержка
1;доставка больше 3х часов!!;Задержка
1;В приложении написано, что доставка 60 минут, когда уже заказали, нам позвонили и сообщили, что доставка от 2х часов. Привезли за 2.5 часа. Я понимаю, что некоторые могут столько доставлять, это нормально. Но об этом нужно знать заранее. Мы голодные сидели два часа;Задержка
1;3 раз отказывают , до этого доставляли и все хорошо было;Не доставлен
1;Курьер с первого звонка начал кричать что 10 минут не может дозвониться(ни одного звонка не было, администратор дозвонился без затруднений), так как по его словам весь день висит приложение, сказал что сделает возврат. Спасибо за испорченное настроение 👍;Другое
1;Роллы вкусные, но мало того что доставка была больше 3-х часов, по цене списали на 329 рублей больше, то есть за блюдо за баллы. Баллы так же списаны(((;Взяли д/с за ЕЗБ
1;Не положили соус сырный в комбо;Не довезли
1;Морса не было, доставка курьером Яндекс;Не довезли
1;не доставили заказ, хотя написано что заказ приехал;Не доставлен
1;"Ждали более 2 часов
Привезли холодное,а  в заказе почти все горячие быть должны,они превратились в резину!
Отдельно покупать соуса и тд..
Роллы не доделанные,шапочек нет!Соусами не политы!
Положили васаби и то,вонючий,рыхлый не острый и болотного цвета.";Задержка
1;"в роллы по заявленным ингредиентам, в составе кладут не все продукты, конкретно в роллах не было сыра и шапочки ,в составе написано, что есть соевый, но его нет и доказывали по телефону потом, что он не входит в состав, так зачем тогда писать, что входит в сет, либо не предупреждаете во время заказа. 
аргументировали это тем, что агруженность большая ,поэтому не доложили ингредиенты , а это разве мои проблемы? НЕТ! можно сделать вывод, что работаете на ""отвали"" ,если заведение качественное, делают нормально, то и не влияет на качество продукции загруженность, либо уж тогда не принимайте заказы, рад несправляетесь и не можете сделать нормально, что люди заказывают и ждут";Уточнения по отзывам (состав)
1;заказ доставляли 4 часа, приняли заказ в 20.11, доставили в 24.00. если не справляетесь с нагрузкой, может не надо набирать столько заказов?;Задержка
1;Заказ не привезли. Оператор позвонил один раз, у меня был важный звонок и я сразу не ответила. И, тут же Вы отменили заказ! Самостоятельно!;Не доставлен
1;Жаль ноли не проставляются. Заказ не привезли, хотя был оплачен онлайн. CHIBBIS решить вопрос не может. Просто огонь!!! Делайте выводы.;Не доставлен
1;Ждали 4 часа, вместо 1 часа 50 мин, даже пиццу забыли положить. Ещё пришлось ждать когда доведут.;Задержка
1;Заказал еду в 12:37, уже 4 часа жду, еды нету;Не доставлен
1;Заказ был в 20:11 курьер доставил в 22-10, да вот еще в заказе были острые крылошки но их не оказалось в наличии, соответственно их не привезли, оплата была картой онлайн теперь вопрос и где эта разница 339₽;Не довезли
1;ужасный ресторан. пицца не плохая и не хорошая, обычная. но доставка - это нечто. время ожидания написали час. не позвонили. через полтора часа позвонил в ресторан сам, не ответили, оставил запрос на звонок - ничего. в итоге уже забыли про заказ, и его привозят, через 2,5 часа... мда;Задержка
1;заказал в 19/20 привезли в 22/05;Задержка
1;Это был последний заказ через Chibbis!;Другое
1;Заказ увидели через час после трех звонков. По телефону внятно объяснить ничего не могут. Девушка в кафе вообще не понятно для чего нужна на телефоне, все мои вопросы кому то дублировала по доставке. Еда не плохая, но сильно расстроила служба доставки и клиентоориентированность персонала, точнее ее отсутствие.;Другое
1;"Много много лет я доверяла только Окинаве, всегда и везде хваля это. ресторан. И очень не хотелось верить что он когда-то сдаст 😔
Сдавать начал потихоньку, незаметно... и сегодня по всей видимости был последний наш заказ. Очень и очень жаль.
Начиная с доставки,которая была более 2,5 часов, но это ладно, много заказов, понимаю, хоть и по телефону было обозначено другое время.
Открыв набор,который неизменно заказываем всегда, были разочарованы...
Горячие роллы давно не горячие, кушать палочками их просто невозможно, разваливается все, один из роллов заметно несвеж, абсолютно все роллы стали заметно меньше
Очень и очень жаль 😥";Задержка
1;Прошло уже больше 3х часов, а заказа так и нет. Ресторан не отвечает, спасибо техподдержке чибиса, только он пытается узнать где наш заказ;Не доставлен
1;сказали будут везти 3 часа ,ладно согласились,везли 4,итог пицца горелая ,ролы разваливаются;Задержка
1;"Заказывали медовый соус , а положили какой то ореховый. Долго ожидали доставку, так ещё и привезли не то😢
Также возникла проблема с оплатой, но мы выкрутились из ситуации.
Являемся вашими постоянными клиентами, так как роллы действительно очень вкусные";Не то привезли
1;Заказ доставили не полностью, не привезли имбирь.;Не довезли
1;суши без нори. фото имеется. заказывали в 14.00 на 18.39, приехали ,а еще и ждать пришлось ,не все готово. Всегда только тут заказывала,но в это раз расстроили ... Все роллы разваливаются не успев дойти до соевого соуса,суши сделали без нори. Очень жаль ...;Задержка
1;роллы разваливается и не доложили 3 имбиря;Не довезли
1;"Ужасное обслуживание,что видели
Заказ в 18.02 был создал,доставку не дождались,в 21.00 позвонили что потеряли заказ.Заказывали детям в честь начала учебного года,испорчен праздник
УЖАС И ТОЛЬКО";Не доставлен
1;оплата стояла картой.А в итоге курьер сказал перводом.И опаздали на 20 минут.Заказ был оформлен 19-18.Обешали в 20-49,а привезли 21-10;Задержка
1;заказ задерживают уже на 25 минут, ужасная доставка;Задержка
1;"сделала заказ в 14.30 на 19 ч. специально чтобы рассчитали время и привезли вовремя и ГОРЯЧЕЕ! в итоге опять опоздали, и опять всё холодное. ""спасибо "". работали нормально, а теперь косяк за косяком. печально.....";Задержка
1;Прошло уже 3 часа а заказ так и не привезли хотя заявлено было 2 -2,5 часа.😡😡😡;Не доставлен
1;Один раз заказал получил, на следующий день опять везут мне по другим адресам несколько дней то чего я вообще не заказывал;Другое
1;Заказ привезли, но потом на следующий день и через день снова какие-то заказы везут;Другое
1;Не положили палочки к роллам, специально указали в комментарии об температуре еды, в итоге всё привезли холодное, пиццу ощущение что сначала на асфальт кинули и принесли нам, в приложении было заявлено час ожидания, прошло два часа и привезли всё остывшее и не в лучшем виде, в общем всё впечатление испортили…;Задержка
1;"Ждали три часа
роллы привезли уже почти холодными";Задержка
1;Гавно доставка, жду уже 2 часа, позвонила, заказ не прошел, ждите еще час, на сайте висит инфа что принят .;Задержка
1;Был предзаказ на 19:00. Опоздали на 30+ минут. Сорвали программу вечера 😠;Задержка
1;Ладно задержали доставку, роллы разваливаются. Указывала оплату по карте курьер говорит только перевод, повторяя что указывала оплату по карте услышала ответ «меня не волнует», отвратительное обслуживание. Ни салфеток, ни палочек, ни соуса и прочего;Задержка
1;просил кисло-сладкий соус,а положили опять сырный,ка будто других нет;Не то привезли
1;Пицца с минимальной начинкой, указал 4 набора приборов , привезли на 2. Вок , как из столовки . Доставка задержалась на 40 минут;Задержка
1;Мой заказ не доставили, за повторную просьбу попросили выезд курьера, хотя для поддержания сервиса могли бы это сделать бесплатно, в общем я не довольна работой ресторана. Поэтому отказ. Пользуюсь доставками с 2014 года и никогда не была в таком положении. Очень обидно.;Не доставлен
1;ужасная доставка ,ждали почти 3 часа, трубки не берут ,сами не перезванивают, в итоге за заказом пришлось ехать самим.;Другое
1;Ждали 2 с половиной часа, еда холодная, мясо во всей Монголия сырое, свинина сухая. В общем самый отстойное кафе в дишманском и то вкуснее.;Задержка
